carrier,mean_delay
PS,1.45063851278
WN,3.83699715662
NW,3.88168491269
ML (1),4.74760919573
HP,4.76452994881
PA (1),5.32243099993
AA,5.43722225039
AS,5.99767734817
CO,6.03794679406
TW,6.0581402128
